C	V	Q*	PGFR	Length	Angle	LH	WW
100	21.11	0.889	3.16	1.41	59.64	2.00	5.8
100.23	23.24	0.981	3.56	1.24	36.8	1.82	6.7
100	23.55	0.992	3.56	1.24	36.8	1.88	6.6
118.06	21.41	1.065	1.7	2.33	36.8	2.07	5.9
123.29	21.54	1.119	1.7	2.33	36.8	1.92	6.35
119.54	23.19	1.168	5	2.4	36.8	1.62	7.35
129.94	22.04	1.207	0.8	0.8	42.2	1.81	6.3
130.09	22.71	1.245	0.8	0.8	42.2	1.94	6.3
123	24.56	1.273	3	0.8	90	1.67	7.3
123	24.76	1.283	3	0.8	90	1.62	7.6
130.82	23.56	1.299	4.02	1.6	90	1.51	8
141.01	22.36	1.329	1.54	1.47	77.4	1.71	7.17
151.56	21.03	1.343	1.16	2.4	66.4	1.79	6.9
147.23	22.14	1.373	0.9	0.8	90	1.62	7.2
140.75	24.57	1.457	5	2.4	63.4	1.64	7.7
160.9	21.58	1.463	2	2.4	90	1.62	7.6
148.96	23.72	1.489	1.54	1.62	50.82	1.61	7.6
161.14	22.5	1.528	0.8	2.4	36.8	1.59	7.6
166.49	22.13	1.552	0.8	2.4	36.8	1.70	7.2
159.49	24.11	1.620	5	2.4	90	1.43	8.7
162	24.39	1.665	2.9	2.4	36.8	1.39	8.7
192.49	22.45	1.821	0.8	1.6	90	1.38	8.6
191.88	23.18	1.874	0.8	2.4	36.8	1.34	8.65
215.38	24.25	2.201	0.8	2.4	63.4	1.36	9
228.8	23.84	2.298	0.8	2.4	90	1.29	9.5
