V	Q*	PGFR	LH	WW
21.11	0.889	3.16	2	5.8
23.24	0.981	3.56	1.82	6.7
23.55	0.992	3.56	1.88	6.6
21.41	1.065	1.7	2.07	5.9
21.54	1.119	1.7	1.92	6.35
23.19	1.168	5	1.62	7.35
22.04	1.207	0.8	1.81	6.3
22.71	1.245	0.8	1.94	6.3
24.56	1.273	3	1.67	7.3
24.76	1.283	3	1.62	7.6
23.56	1.299	4.02	1.51	8
22.36	1.329	1.54	1.71	7.17
21.03	1.343	1.16	1.79	6.9
22.14	1.373	0.9	1.62	7.2
24.57	1.457	5	1.64	7.7
21.58	1.463	2	1.62	7.6
23.72	1.489	1.54	1.61	7.6
22.5	1.528	0.8	1.59	7.6
22.13	1.552	0.8	1.7	7.2
24.11	1.62	5	1.43	8.7
24.39	1.665	2.9	1.39	8.7
22.45	1.821	0.8	1.38	8.6
23.18	1.874	0.8	1.34	8.65
24.25	2.201	0.8	1.36	9
23.84	2.298	0.8	1.29	9.5
