C	V	PGFR	LH	WW
100	21.11	3.16	2	5.8
100.23	23.24	3.56	1.82	6.7
100	23.55	3.56	1.88	6.6
118.06	21.41	1.7	2.07	5.9
123.29	21.54	1.7	1.92	6.35
119.54	23.19	5	1.62	7.35
129.94	22.04	0.8	1.81	6.3
130.09	22.71	0.8	1.94	6.3
123	24.56	3	1.67	7.3
123	24.76	3	1.62	7.6
130.82	23.56	4.02	1.51	8
141.01	22.36	1.54	1.71	7.17
151.56	21.03	1.16	1.79	6.9
147.23	22.14	0.9	1.62	7.2
140.75	24.57	5	1.64	7.7
160.9	21.58	2	1.62	7.6
148.96	23.72	1.54	1.61	7.6
161.14	22.5	0.8	1.59	7.6
166.49	22.13	0.8	1.7	7.2
159.49	24.11	5	1.43	8.7
162	24.39	2.9	1.39	8.7
192.49	22.45	0.8	1.38	8.6
191.88	23.18	0.8	1.34	8.65
215.38	24.25	0.8	1.36	9
228.8	23.84	0.8	1.29	9.5
