i	V	P	PGFR	LH	WW
162	24.39	3.95	2.9	1.39	8.7
130.82	23.56	3.08	4.02	1.51	8
100.23	23.24	2.33	3.56	1.82	6.7
129.94	22.04	2.86	0.8	1.81	6.3
100	21.11	2.11	3.16	2.00	5.8
123	24.76	3.05	3	1.62	7.6
123	24.56	3.02	3	1.67	7.3
100	23.55	2.36	3.56	1.88	6.6
159.49	24.11	3.85	5	1.43	8.7
151.56	21.03	3.19	1.16	1.79	6.9
141.01	22.36	3.15	1.54	1.71	7.17
118.06	21.41	2.53	1.7	2.07	5.9
161.14	22.5	3.63	0.8	1.59	7.6
148.96	23.72	3.53	1.54	1.61	7.6
160.9	21.58	3.47	2	1.62	7.6
191.88	23.18	4.45	0.8	1.34	8.65
130.09	22.71	2.95	0.8	1.94	6.3
166.49	22.13	3.68	0.8	1.70	7.2
147.23	22.14	3.26	0.9	1.62	7.2
228.8	23.84	5.45	0.8	1.29	9.5
140.75	24.57	3.46	5	1.64	7.7
119.54	23.19	2.77	5	1.62	7.35
215.38	24.25	5.22	0.8	1.36	9
123.29	21.54	2.66	1.7	1.92	6.35
192.49	22.45	4.32	0.8	1.38	8.6
